raw_content,clean_content
"To make it clear, that was not a bullying case, it??s Murder.",make clear not bullying case murder
For me that's not bullying it's a murder,thats not bullying murder
JUSTICE FOR ZARA QAIRINA Mahathir From Palawan Philippines,justice zara qairina mahathir palawan philippine
Charge charge charge is what we hear everyday. Nobody charged until today.... Tired...,charge charge charge hear everyday nobody charged today tired
Malaysian justice is considered dead if it cannot give true justice for Zara. A life for a life is harsh but true justice if the people want to live in peace and prosperity,malaysian justice considered dead cannot give true justice zara life life harsh true justice people want live peace prosperity
A religious school breeding bullies.. what kind of religion.,religious school breeding bully kind religion
All those involved should be charged and convicted as hard-core criminals and given maximum punishments clouding flogging,involved charged convicted hardcore criminal given maximum punishment clouding flogging
"I thought Muslim county like MALAYSIA  ARE HONEST PEOPLE BUT I AM WRONG , the official are so corrupt",thought muslim county like malaysia honest people wrong official corrupt
HUSTISYA!!!!,hustisya
How government have stricter law for school teens gang group bully. Government must have laws teens cannot form group members is normally not good intentions.  Often leads to gang group bully and violence causing targeted victim injuries in public space.,government stricter law school teen gang group bully government must law teen cannot form group member normally not good intention often lead gang group bully violence causing targeted victim injury public space
"Juvenile Court is needed for School Delinquent Teens (male) especially for the many crimes (1. Sexual Assault & Verbal Sexist Foul Language in public.  2. Violent, Assault & Bully.  3. Gang Group (Bully, Violence & Injury)   4. Pranking Victim  5. Non Stop Excessive Noises in Residential Areas (Basketball: Piling Noises non stop & breaking housing & environmental rules)   6. Out Of Control destructive behaviours including rebellious & defiant  7. Many Mischevious Crimes committed in residential areas......",juvenile court needed school delinquent teen male especially many crime sexual assault verbal sexist foul language public violent assault bully gang group bully violence injury pranking victim non stop excessive noise residential area basketball piling noise non stop breaking housing environmental rule control destructive behaviour including rebellious defiant many mischevious crime committed residential area
Its not Bullying anymore.. its murder..,not bullying anymore murder
Those who killed are saitan and thier parents  too shaitan. I pray that Allah burn them all in hell,killed saitan thier parent shaitan pray allah burn hell
"No justice.. C507 only gives max 2 years in jail or fine. Or both. Which means if they are given a fine, they will walk free and if the go to prison. It's only for 2 years max. No justice.",no justice c give max year jail fine mean given fine walk free go prison year max no justice
"Disciplining a child begins within the family, with the parents. It is a great shortcoming on the part of parents if they fail to teach their children good manners and proper values. Religion also plays a role in this, as religious teachers are expected to guide their members in practicing upright behavior.",disciplining child begin within family parent great shortcoming part parent fail teach child good manner proper value religion also play role religious teacher expected guide member practicing upright behavior
